PRACTICE_CODE,PRACTICE_NAME,LSOA21CD,NUMBER_OF_PATIENTS
F85002,MEDICUS HEALTH PARTNERS,E01001568,47
F85002,MEDICUS HEALTH PARTNERS,E01001569,31
F85002,MEDICUS HEALTH PARTNERS,E01001570,51
F85002,MEDICUS HEALTH PARTNERS,E01001602,1
F85002,MEDICUS HEALTH PARTNERS,E01001637,1
F85002,MEDICUS HEALTH PARTNERS,E01001666,1
F85002,MEDICUS HEALTH PARTNERS,E01001687,2
F85002,MEDICUS HEALTH PARTNERS,E01001723,1
F85002,MEDICUS HEALTH PARTNERS,E01001724,1
F85002,MEDICUS HEALTH PARTNERS,E01001731,1
F85002,MEDICUS HEALTH PARTNERS,E01001732,1
F85002,MEDICUS HEALTH PARTNERS,E01001738,3
F85002,MEDICUS HEALTH PARTNERS,E01001745,2
F85002,MEDICUS HEALTH PARTNERS,E01001747,5
F85002,MEDICUS HEALTH PARTNERS,E01001750,1
F85002,MEDICUS HEALTH PARTNERS,E01001758,4
F85002,MEDICUS HEALTH PARTNERS,E01001761,1
F85002,MEDICUS HEALTH PARTNERS,E01001764,1
F85002,MEDICUS HEALTH PARTNERS,E01001770,1
F85002,MEDICUS HEALTH PARTNERS,E01001776,1
F85002,MEDICUS HEALTH PARTNERS,E01001787,1
F85002,MEDICUS HEALTH PARTNERS,E01001792,1
F85002,MEDICUS HEALTH PARTNERS,E01001798,3
F85002,MEDICUS HEALTH PARTNERS,E01001809,1
F85002,MEDICUS HEALTH PARTNERS,E01001813,1
F85002,MEDICUS HEALTH PARTNERS,E01001820,1
F85002,MEDICUS HEALTH PARTNERS,E01001825,1
F85002,MEDICUS HEALTH PARTNERS,E01001826,3
F85002,MEDICUS HEALTH PARTNERS,E01001830,1
F85002,MEDICUS HEALTH PARTNERS,E01001841,1
F85002,MEDICUS HEALTH PARTNERS,E01001876,3
F85002,MEDICUS HEALTH PARTNERS,E01001898,1
F85002,MEDICUS HEALTH PARTNERS,E01001960,1
F85002,MEDICUS HEALTH PARTNERS,E01001962,2
F85002,MEDICUS HEALTH PARTNERS,E01001964,2
F85002,MEDICUS HEALTH PARTNERS,E01001968,1
F85002,MEDICUS HEALTH PARTNERS,E01001969,1
F85002,MEDICUS HEALTH PARTNERS,E01001972,4
F85002,MEDICUS HEALTH PARTNERS,E01001974,3
F85002,MEDICUS HEALTH PARTNERS,E01001975,21
F85002,MEDICUS HEALTH PARTNERS,E01001976,11
F85002,MEDICUS HEALTH PARTNERS,E01001977,3
